■ 예제3 ? 제품 소개서 다국어 변환 실습용 제품 목록,,,,,,,,,,,
No,품목코드,제품명,카테고리,주요스펙,MOQ,단가(USD),인증,타겟시장,한국어소개,번역필요언어,우선순위
262,KE-62805,태양광 패널,IT,"규격:116mm, 중량:8kg, 전압:24V DC",2576,20.5,"KC, UL",스페인,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,낮음
263,KE-48166,디스플레이,건축,"규격:289mm, 중량:33kg, 전압:110V",4563,670.1,"CE, RoHS",터키,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,긴급
264,KE-72558,디스플레이,전자,"규격:449mm, 중량:39kg, 전압:110V",3516,223.9,"FDA, CE",멕시코,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어,보통
265,KE-92401,스마트 가전,기계,"규격:100mm, 중량:39kg, 전압:24V DC",4797,34.7,"KC, CE, FCC",태국,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+중국어,긴급
266,KE-79727,섬유/원단,IT,"규격:183mm, 중량:42kg, 전압:24V DC",3427,350.3,"KC, CE, FCC",멕시코,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,보통
267,KE-87302,포장재,식품기계,"규격:447mm, 중량:22kg, 전압:110V",1557,634,"CE, RoHS",인도네시아,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,긴급
268,KE-61009,산업용 센서,IT,"규격:477mm, 중량:17kg, 전압:24V DC",885,760.1,"KC, UL",독일,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,긴급
269,KE-43843,스마트 가전,기계,"규격:110mm, 중량:30kg, 전압:24V DC",2133,283.9,"ISO 9001, CE",이탈리아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,낮음
270,KE-88896,플라스틱 부품,자동차,"규격:272mm, 중량:14kg, 전압:110V",3687,589.1,"ISO 9001, CE",베트남,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,긴급
271,KE-28924,금속 가공품,건축,"규격:140mm, 중량:38kg, 전압:110V",3107,105.6,"FDA, CE",아르헨티나,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+일어+중국어,보통
272,KE-93503,공구세트,기계,"규격:256mm, 중량:35kg, 전압:110V",4099,225.4,"KC, UL",터키,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어,낮음
273,KE-32962,공구세트,전자,"규격:107mm, 중량:30kg, 전압:220V",4968,82.8,"CE, RoHS",UAE,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,낮음
274,KE-22264,스마트 가전,건축,"규격:214mm, 중량:44kg, 전압:24V DC",4800,667,"FDA, CE",말레이시아,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+일어+중국어,높음
275,KE-35961,산업용 센서,기계,"규격:434mm, 중량:36kg, 전압:220V",398,657.5,"CE, T?V",스페인,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,보통
276,KE-54846,IT장비,섬유,"규격:111mm, 중량:13kg, 전압:24V DC",2921,684.5,"CE, RoHS",아르헨티나,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,보통
277,KE-27080,전자부품,섬유,"규격:210mm, 중량:37kg, 전압:220V",2654,605.4,"KC, CE, FCC",멕시코,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+아랍어,낮음
278,KE-28070,전자부품,화학,"규격:199mm, 중량:10kg, 전압:220V",578,693,"CE, RoHS",말레이시아,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,보통
279,KE-98473,산업용 센서,섬유,"규격:174mm, 중량:27kg, 전압:220V",551,514.9,"KC, CE, FCC",프랑스,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,보통
280,KE-22032,공구세트,섬유,"규격:436mm, 중량:25kg, 전압:24V DC",2784,762.7,"CE, RoHS",호주,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+중국어,낮음
281,KE-58032,포장재,식품기계,"규격:317mm, 중량:13kg, 전압:24V DC",2286,449.6,"FDA, CE",폴란드,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,높음
282,KE-40168,태양광 패널,건축,"규격:430mm, 중량:3kg, 전압:110V",3088,765.8,"KC, CE, FCC",중국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,높음
283,KE-71749,식품가공기계,기계,"규격:325mm, 중량:45kg, 전압:24V DC",2772,656.8,"KC, CE, FCC",캐나다,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어,보통
284,KE-87855,LED 조명,화학,"규격:217mm, 중량:32kg, 전압:110V",2521,430.7,"ISO 9001, CE",스페인,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어,긴급
285,KE-15633,플라스틱 부품,식품기계,"규격:160mm, 중량:2kg, 전압:110V",2212,184.9,"KC, CE, FCC",호주,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+스페인어,낮음
286,KE-77750,전자부품,건축,"규격:367mm, 중량:45kg, 전압:110V",751,673.7,"ISO 9001, CE",UAE,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어,보통
287,KE-86636,디스플레이,전자,"규격:365mm, 중량:21kg, 전압:110V",4891,711,ISO 14001,폴란드,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,높음
288,KE-51638,반도체 부품,기계,"규격:127mm, 중량:43kg, 전압:220V",1953,596.1,ISO 14001,베트남,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,높음
289,KE-83981,LED 조명,의료,"규격:410mm, 중량:20kg, 전압:24V DC",3626,151.7,"KC, UL",이탈리아,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
290,KE-26413,디스플레이,건축,"규격:267mm, 중량:8kg, 전압:110V",1862,31.2,"KC, UL",호주,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,높음
291,KE-73371,반도체 부품,기계,"규격:409mm, 중량:34kg, 전압:220V",2478,129.8,"CE, RoHS",일본,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+독일어,높음
292,KE-22591,산업용 센서,기계,"규격:475mm, 중량:35kg, 전압:24V DC",581,696.2,"KC, CE, FCC",영국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,보통
293,KE-86208,산업용 센서,자동차,"규격:447mm, 중량:25kg, 전압:24V DC",3207,742.9,"KC, CE, FCC",말레이시아,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+프랑스어,낮음
294,KE-48578,LED 조명,IT,"규격:163mm, 중량:47kg, 전압:24V DC",1242,438.2,"CE, T?V",독일,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+아랍어,낮음
295,KE-16509,스마트 가전,화학,"규격:440mm, 중량:11kg, 전압:24V DC",4800,322.5,ISO 14001,이탈리아,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,높음
296,KE-99545,의료기기,의료,"규격:257mm, 중량:7kg, 전압:220V",557,441.9,ISO 14001,폴란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+일어+중국어,긴급
297,KE-32814,화학원료,건축,"규격:465mm, 중량:44kg, 전압:110V",1065,197.6,"CE, RoHS",멕시코,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,높음
298,KE-93503,플라스틱 부품,건축,"규격:222mm, 중량:21kg, 전압:220V",2720,667.4,"KC, CE, FCC",독일,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,보통
299,KE-89833,포장재,기계,"규격:307mm, 중량:23kg, 전압:220V",3071,125.7,"KC, CE, FCC",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+중국어,긴급
300,KE-60684,산업용 센서,IT,"규격:325mm, 중량:21kg, 전압:24V DC",2651,233.9,ISO 14001,싱가포르,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,낮음
301,KE-32165,자동차 부품,화학,"규격:400mm, 중량:27kg, 전압:220V",3048,541.4,"ISO 9001, CE",브라질,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,높음
302,KE-88150,태양광 패널,섬유,"규격:430mm, 중량:33kg, 전압:220V",3477,719.4,ISO 14001,멕시코,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+중국어,보통
303,KE-42024,IT장비,식품기계,"규격:198mm, 중량:49kg, 전압:220V",2769,186.5,"FDA, CE",프랑스,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,낮음
304,KE-53900,의료기기,IT,"규격:272mm, 중량:49kg, 전압:110V",1616,64.1,"FDA, CE",네덜란드,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+독일어,긴급
305,KE-26462,전자부품,식품기계,"규격:154mm, 중량:42kg, 전압:24V DC",4572,243,"KC, UL",인도,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+프랑스어,낮음
306,KE-32058,공구세트,자동차,"규격:153mm, 중량:14kg, 전압:110V",2216,577.1,"CE, RoHS",말레이시아,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,긴급
307,KE-18365,화학원료,의료,"규격:481mm, 중량:37kg, 전압:24V DC",1815,536.5,"KC, UL",터키,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+프랑스어,보통
308,KE-63434,공구세트,의료,"규격:429mm, 중량:47kg, 전압:110V",2419,744.7,"FDA, CE",아르헨티나,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,낮음
309,KE-77163,플라스틱 부품,건축,"규격:307mm, 중량:39kg, 전압:110V",3308,215.3,"KC, CE, FCC",캐나다,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,보통
310,KE-16881,자동차 부품,자동차,"규격:431mm, 중량:34kg, 전압:110V",1892,671.6,"CE, RoHS",호주,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+독일어,낮음
311,KE-40892,자동차 부품,식품기계,"규격:287mm, 중량:15kg, 전압:220V",2603,786.4,"ISO 9001, CE",터키,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,높음
312,KE-43433,전자부품,건축,"규격:291mm, 중량:35kg, 전압:24V DC",1908,219.2,"KC, CE, FCC",일본,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,긴급
313,KE-45619,IT장비,기계,"규격:405mm, 중량:17kg, 전압:110V",3385,475.4,"FDA, CE",태국,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,보통
314,KE-79855,화학원료,식품기계,"규격:404mm, 중량:3kg, 전압:24V DC",2656,90.7,"CE, T?V",네덜란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+독일어,보통
315,KE-67092,배터리,건축,"규격:163mm, 중량:20kg, 전압:220V",4564,103.5,"CE, T?V",인도네시아,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,낮음
316,KE-86795,섬유/원단,의료,"규격:493mm, 중량:40kg, 전압:220V",4101,616.4,"ISO 9001, IATF",태국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어,보통
317,KE-97563,포장재,건축,"규격:453mm, 중량:44kg, 전압:24V DC",3390,18.9,"ISO 9001, IATF",싱가포르,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,높음
318,KE-64233,화학원료,자동차,"규격:292mm, 중량:38kg, 전압:24V DC",4288,633.8,ISO 14001,사우디아라비아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+독일어,긴급
319,KE-20273,의료기기,기계,"규격:271mm, 중량:26kg, 전압:220V",1940,540.2,"KC, CE, FCC",일본,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,낮음
320,KE-59845,LED 조명,화학,"규격:342mm, 중량:39kg, 전압:110V",2886,777.2,ISO 14001,아르헨티나,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,보통
321,KE-70098,포장재,기계,"규격:176mm, 중량:29kg, 전압:110V",4681,194.2,"CE, T?V",인도네시아,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,보통
322,KE-62157,자동차 부품,건축,"규격:221mm, 중량:8kg, 전압:110V",928,111.9,ISO 14001,멕시코,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,긴급
323,KE-85137,건축자재,섬유,"규격:143mm, 중량:35kg, 전압:24V DC",2726,601.8,"CE, RoHS",이탈리아,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+일어+중국어,높음
324,KE-84249,디스플레이,건축,"규격:474mm, 중량:12kg, 전압:220V",3322,563.2,ISO 14001,말레이시아,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,높음
325,KE-32305,배터리,IT,"규격:308mm, 중량:13kg, 전압:220V",188,274.2,"CE, RoHS",미국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,보통
326,KE-34350,디스플레이,전자,"규격:414mm, 중량:25kg, 전압:24V DC",1937,724.2,"KC, UL",프랑스,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+독일어,보통
327,KE-63996,배터리,전자,"규격:116mm, 중량:41kg, 전압:110V",759,662.2,"CE, RoHS",아르헨티나,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,높음
328,KE-93196,플라스틱 부품,기계,"규격:324mm, 중량:32kg, 전압:220V",3292,599.8,"ISO 9001, IATF",남아프리카,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,긴급
329,KE-91198,자동차 부품,섬유,"규격:380mm, 중량:47kg, 전압:24V DC",1943,668.3,"ISO 9001, IATF",독일,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,높음
330,KE-22736,자동차 부품,의료,"규격:443mm, 중량:46kg, 전압:110V",4435,379.3,ISO 14001,캐나다,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,긴급
331,KE-97423,태양광 패널,의료,"규격:222mm, 중량:28kg, 전압:24V DC",1934,93.9,"FDA, CE",UAE,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,긴급
332,KE-17537,배터리,건축,"규격:252mm, 중량:44kg, 전압:220V",3901,514.2,ISO 14001,멕시코,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,낮음
333,KE-89026,금속 가공품,화학,"규격:194mm, 중량:7kg, 전압:110V",1432,695.7,"KC, UL",남아프리카,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,보통
334,KE-20118,태양광 패널,건축,"규격:468mm, 중량:19kg, 전압:110V",1672,536.6,"ISO 9001, CE",독일,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+독일어,낮음
335,KE-64734,건축자재,전자,"규격:280mm, 중량:5kg, 전압:220V",2036,497.4,ISO 14001,중국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,긴급
336,KE-41481,공구세트,의료,"규격:244mm, 중량:48kg, 전압:110V",4978,562.3,"FDA, CE",싱가포르,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+독일어,높음
337,KE-69900,화학원료,자동차,"규격:315mm, 중량:2kg, 전압:24V DC",2587,359.5,"FDA, CE",인도네시아,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어,높음
338,KE-27523,산업용 센서,섬유,"규격:388mm, 중량:16kg, 전압:110V",924,566.1,"KC, CE, FCC",태국,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
339,KE-49459,포장재,기계,"규격:120mm, 중량:11kg, 전압:24V DC",2022,126.2,"CE, T?V",브라질,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+프랑스어,보통
340,KE-83134,IT장비,IT,"규격:244mm, 중량:29kg, 전압:110V",2582,135.4,"ISO 9001, IATF",아르헨티나,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+스페인어,낮음
341,KE-21079,플라스틱 부품,건축,"규격:279mm, 중량:23kg, 전압:110V",2511,634.2,"KC, CE, FCC",싱가포르,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+일어+중국어,보통
342,KE-15599,LED 조명,섬유,"규격:204mm, 중량:50kg, 전압:24V DC",2536,171.5,"KC, UL",터키,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+일어+중국어,낮음
343,KE-52073,건축자재,IT,"규격:420mm, 중량:17kg, 전압:220V",4282,494.9,"ISO 9001, CE",스페인,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+중국어,낮음
344,KE-35102,산업용 센서,전자,"규격:377mm, 중량:6kg, 전압:220V",3724,81.8,"FDA, CE",독일,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어,낮음
345,KE-50448,화장품,전자,"규격:470mm, 중량:31kg, 전압:24V DC",1445,94.5,"CE, T?V",UAE,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,보통
346,KE-16815,전자부품,기계,"규격:182mm, 중량:28kg, 전압:220V",3103,772.3,"ISO 9001, CE",중국,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+아랍어,높음
347,KE-37049,의료기기,기계,"규격:291mm, 중량:26kg, 전압:220V",501,575,"KC, CE, FCC",프랑스,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+아랍어,긴급
348,KE-50796,섬유/원단,식품기계,"규격:215mm, 중량:37kg, 전압:24V DC",1810,798.3,"ISO 9001, IATF",태국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,보통
349,KE-71510,산업용 센서,건축,"규격:143mm, 중량:30kg, 전압:24V DC",590,176.8,"ISO 9001, IATF",브라질,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+중국어,낮음
350,KE-39189,자동차 부품,화학,"규격:174mm, 중량:5kg, 전압:110V",897,341.3,"KC, CE, FCC",터키,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,낮음
351,KE-62241,디스플레이,의료,"규격:123mm, 중량:6kg, 전압:24V DC",1710,25.1,"CE, T?V",중국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,보통
352,KE-75733,포장재,전자,"규격:361mm, 중량:39kg, 전압:220V",1557,288.8,ISO 14001,프랑스,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+일어+중국어,보통
353,KE-66286,전자부품,섬유,"규격:322mm, 중량:16kg, 전압:24V DC",3516,352.4,"FDA, CE",폴란드,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,보통
354,KE-88118,플라스틱 부품,전자,"규격:229mm, 중량:50kg, 전압:220V",3687,44.3,ISO 14001,베트남,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,높음
355,KE-48441,디스플레이,전자,"규격:320mm, 중량:18kg, 전압:220V",973,511.7,"CE, RoHS",폴란드,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+프랑스어,낮음
356,KE-86705,화학원료,식품기계,"규격:186mm, 중량:48kg, 전압:220V",1107,414.4,"CE, T?V",중국,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,낮음
357,KE-21746,반도체 부품,건축,"규격:229mm, 중량:21kg, 전압:110V",2157,41.6,"KC, UL",미국,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,높음
358,KE-91404,디스플레이,의료,"규격:228mm, 중량:25kg, 전압:110V",4792,365,"CE, RoHS",스페인,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+일어+중국어,낮음
359,KE-51848,디스플레이,기계,"규격:204mm, 중량:11kg, 전압:220V",2744,469.7,"KC, UL",멕시코,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+중국어,낮음
360,KE-11446,포장재,의료,"규격:448mm, 중량:30kg, 전압:220V",2894,36.7,"CE, T?V",일본,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+프랑스어,높음
361,KE-14264,IT장비,전자,"규격:456mm, 중량:18kg, 전압:220V",4217,588,"KC, CE, FCC",폴란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어,높음
362,KE-59635,IT장비,섬유,"규격:214mm, 중량:14kg, 전압:110V",1390,31.5,"ISO 9001, IATF",남아프리카,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+아랍어,높음
363,KE-65987,전자부품,식품기계,"규격:444mm, 중량:35kg, 전압:24V DC",1570,157.6,"ISO 9001, IATF",인도,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+아랍어,보통
364,KE-64492,태양광 패널,의료,"규격:120mm, 중량:21kg, 전압:24V DC",3151,542.6,"KC, CE, FCC",중국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+아랍어,긴급
365,KE-55129,플라스틱 부품,섬유,"규격:143mm, 중량:49kg, 전압:220V",192,162.6,"ISO 9001, CE",아르헨티나,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,높음
366,KE-31464,건축자재,자동차,"규격:476mm, 중량:23kg, 전압:220V",3954,89.1,"ISO 9001, IATF",독일,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+프랑스어,낮음
367,KE-49888,화학원료,기계,"규격:443mm, 중량:16kg, 전압:110V",2017,72.7,"CE, T?V",브라질,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+중국어,긴급
368,KE-84769,IT장비,의료,"규격:148mm, 중량:23kg, 전압:110V",4955,635.2,"KC, UL",터키,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,보통
369,KE-74363,배터리,화학,"규격:434mm, 중량:29kg, 전압:220V",4739,527.8,"ISO 9001, IATF",인도네시아,"고강도 자동차 엔진 부품, OEM 품질 인증, 글로벌 호환",영어+스페인어,긴급
370,KE-70130,의료기기,자동차,"규격:281mm, 중량:3kg, 전압:24V DC",2544,162.2,ISO 14001,폴란드,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+독일어,낮음
371,KE-65472,디스플레이,섬유,"규격:222mm, 중량:24kg, 전압:220V",4945,267.9,"CE, RoHS",터키,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+중국어,긴급
372,KE-42734,IT장비,건축,"규격:330mm, 중량:34kg, 전압:24V DC",3486,531,"KC, CE, FCC",터키,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,긴급
373,KE-55139,공구세트,식품기계,"규격:146mm, 중량:3kg, 전압:24V DC",260,75.3,"ISO 9001, IATF",일본,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어,긴급
374,KE-51804,자동차 부품,전자,"규격:264mm, 중량:12kg, 전압:110V",3691,405.8,"FDA, CE",멕시코,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+스페인어,높음
375,KE-68464,의료기기,IT,"규격:132mm, 중량:11kg, 전압:220V",1751,82.9,"FDA, CE",중국,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어+일어+중국어,낮음
376,KE-23549,포장재,기계,"규격:103mm, 중량:13kg, 전압:24V DC",4952,251.2,ISO 14001,브라질,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+스페인어,낮음
377,KE-27030,디스플레이,화학,"규격:333mm, 중량:40kg, 전압:220V",1933,82.8,ISO 14001,영국,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+독일어,낮음
378,KE-31214,섬유/원단,의료,"규격:181mm, 중량:16kg, 전압:24V DC",1790,258.4,"ISO 9001, IATF",프랑스,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+일어+중국어,높음
379,KE-30765,자동차 부품,기계,"규격:450mm, 중량:26kg, 전압:110V",1749,423,"CE, RoHS",터키,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,보통
380,KE-86676,공구세트,식품기계,"규격:384mm, 중량:31kg, 전압:220V",4350,697.5,ISO 14001,폴란드,"내부식성 건축 자재, 50년 내구 보증, 친환경 인증",영어+프랑스어,보통
381,KE-22665,식품가공기계,기계,"규격:194mm, 중량:50kg, 전압:24V DC",506,659.6,"ISO 9001, IATF",폴란드,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+아랍어,높음
382,KE-75497,플라스틱 부품,IT,"규격:301mm, 중량:36kg, 전압:220V",3082,201.6,"CE, RoHS",사우디아라비아,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+일어+중국어,보통
383,KE-96861,섬유/원단,식품기계,"규격:317mm, 중량:21kg, 전압:220V",1089,82.9,"ISO 9001, CE",인도,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,낮음
384,KE-19815,자동차 부품,전자,"규격:121mm, 중량:8kg, 전압:24V DC",4172,605,"CE, RoHS",사우디아라비아,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+중국어,보통
385,KE-21478,자동차 부품,섬유,"규격:388mm, 중량:43kg, 전압:24V DC",3784,377.5,"KC, UL",멕시코,"엔터프라이즈급 서버, 최대 512GB RAM, 99.99% 가동률",영어+일어+중국어,높음
386,KE-48850,건축자재,전자,"규격:394mm, 중량:10kg, 전압:24V DC",4957,299.6,"KC, UL",말레이시아,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+일어+중국어,낮음
387,KE-92710,스마트 가전,의료,"규격:264mm, 중량:36kg, 전압:220V",3537,45.7,"CE, T?V",독일,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+프랑스어,낮음
388,KE-55769,LED 조명,화학,"규격:302mm, 중량:34kg, 전압:24V DC",1524,385.6,"CE, T?V",호주,"히알루론산 함유 기능성 화장품, 피부 보습 48시간 지속",영어+스페인어,긴급
389,KE-78513,자동차 부품,IT,"규격:240mm, 중량:47kg, 전압:110V",666,18.4,"KC, UL",호주,"항균 기능성 섬유, 세탁 100회 후에도 항균력 유지",영어,낮음
390,KE-96008,배터리,IT,"규격:153mm, 중량:9kg, 전압:220V",1002,754.6,"CE, T?V",브라질,에너지 효율 1등급 LED 조명으로 기존 대비 60% 전력 절감,영어+스페인어,보통
391,KE-74248,의료기기,IT,"규격:336mm, 중량:47kg, 전압:110V",3345,84,"CE, RoHS",프랑스,"AI 기반 스마트 가전, 앱 원격 제어, 음성 인식 지원",영어+스페인어,높음
392,KE-81424,공구세트,의료,"규격:119mm, 중량:24kg, 전압:110V",201,300.1,"ISO 9001, CE",태국,"고정밀 산업용 센서, IP67 방수등급, -40°C 극한 환경 동작",영어+중국어,보통
